"serial_num","gearcode","gearqty","gearsize","lat_degree","lat_minute","lat_second","lon_degree","lon_minute","lon_second","ntows","species_id","port_landed","DATE.SAIL","DATE.LAND","PERMIT","LAT","LON","GEAR","AREA","VTR","SPECIES","HAULSTART","HAULEND","KEPT","DISCARDED","VESSEL"
1198521904302200,"GNS",20,300,41,0,1,-71,7,1,1,"MONK","CHATHAM",2019-04-30 18:31:00,2019-05-02 07:16:00,"119852",41.0002777777778,-71.1169444444444,"GILLNET",537,"11985219043022","GOOSEFISH",2020-05-01 19:05:33,2020-05-01 19:06:53,4500,NA,"V12"
1198521904302200,"GNS",20,300,41,0,1,-71,7,1,1,"SKBARN","",2019-04-30 18:31:00,2019-05-02 07:16:00,"119852",41.0002777777778,-71.1169444444444,"GILLNET",537,"11985219043022","BARNDOOR SKATE",2020-05-01 19:05:33,2020-05-01 19:06:53,NA,40,"V12"
1198521904302200,"GNS",20,300,41,0,1,-71,7,1,1,"SKWINW","CHATHAM",2019-04-30 18:31:00,2019-05-02 07:16:00,"119852",41.0002777777778,-71.1169444444444,"GILLNET",537,"11985219043022","WINTER SKATE",2020-05-01 19:05:33,2020-05-01 19:06:53,3665,NA,"V12"
1198521904302200,"GNS",20,300,41,0,1,-71,7,1,1,"SKBARNW","CHATHAM",2019-04-30 18:31:00,2019-05-02 07:16:00,"119852",41.0002777777778,-71.1169444444444,"GILLNET",537,"11985219043022","BARNDOOR SKATE",2020-05-01 19:05:33,2020-05-01 19:06:53,175,NA,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"CRJ","",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","JONAH CRAB",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,2,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"JDO","",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","JOHN DORY",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,3,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"DGSP","",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","SPINY DOGFISH",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,2,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"MONK","CHATHAM",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","GOOSEFISH",2020-05-03 19:05:48,2020-05-03 19:07:01,2900,30,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"TILEG","CHATHAM",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","GOLDEN TILEFISH",2020-05-03 19:05:48,2020-05-03 19:07:01,35,NA,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"SKBARN","",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","BARNDOOR SKATE",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,35,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"SKWINW","CHATHAM",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","WINTER SKATE",2020-05-03 19:05:48,2020-05-03 19:07:01,90,NA,"V12"
1198521905022200,"GNS",20,300,41,1,1,-71,6,1,1,"SKBARNW","CHATHAM",2019-05-02 18:10:00,2019-05-04 07:24:00,"119852",41.0169444444444,-71.1002777777778,"GILLNET",537,"11985219050222","BARNDOOR SKATE",2020-05-03 19:05:48,2020-05-03 19:07:01,380,NA,"V12"
1198521905070000,"GNS",20,300,41,1,1,-71,0,1,1,"CRJ","",2019-05-06 20:50:00,2019-05-08 07:32:00,"119852",41.0169444444444,-71.0002777777778,"GILLNET",537,"11985219050700","JONAH CRAB",2020-05-07 19:05:47,2020-05-07 19:07:08,NA,10,"V12"
