"serial_num","gearcode","gearqty","gearsize","lat_degree","lat_minute","lat_second","lon_degree","lon_minute","lon_second","ntows","species_id","port_landed","date.sail","date.land","permit","lat","lon","area","vtr","haulstart","haulend","kept","discarded","vessel","species"
1198521904302200,"GILLNET",20,300,41,0,1,-71,7,1,1,"MONK","CHATHAM",2020-04-30 19:18:31,2020-05-02 19:07:16,"119852",41.0002777777778,-71.1169444444444,537,"11985219043022",2020-05-01 19:05:33,2020-05-01 19:06:53,4500,NA,"V12","GOOSEFISH"
1198521904302200,"GILLNET",20,300,41,0,1,-71,7,1,1,"SKBARN","",2020-04-30 19:18:31,2020-05-02 19:07:16,"119852",41.0002777777778,-71.1169444444444,537,"11985219043022",2020-05-01 19:05:33,2020-05-01 19:06:53,NA,40,"V12","BARNDOOR SKATE"
1198521904302200,"GILLNET",20,300,41,0,1,-71,7,1,1,"SKWINW","CHATHAM",2020-04-30 19:18:31,2020-05-02 19:07:16,"119852",41.0002777777778,-71.1169444444444,537,"11985219043022",2020-05-01 19:05:33,2020-05-01 19:06:53,3665,NA,"V12","WINTER SKATE"
1198521904302200,"GILLNET",20,300,41,0,1,-71,7,1,1,"SKBARNW","CHATHAM",2020-04-30 19:18:31,2020-05-02 19:07:16,"119852",41.0002777777778,-71.1169444444444,537,"11985219043022",2020-05-01 19:05:33,2020-05-01 19:06:53,175,NA,"V12","BARNDOOR SKATE"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"CRJ","",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,2,"V12","JONAH CRAB"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"JDO","",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,3,"V12","JOHN DORY"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"DGSP","",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,2,"V12","SPINY DOGFISH"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"MONK","CHATHAM",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,2900,30,"V12","GOOSEFISH"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"TILEG","CHATHAM",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,35,NA,"V12","GOLDEN TILEFISH"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"SKBARN","",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,NA,35,"V12","BARNDOOR SKATE"
1198521905022200,"GILLNET",20,300,41,1,1,-71,6,1,1,"SKWINW","CHATHAM",2020-05-02 19:18:10,2020-05-04 19:07:24,"119852",41.0169444444444,-71.1002777777778,537,"11985219050222",2020-05-03 19:05:48,2020-05-03 19:07:01,90,NA,"V12","WINTER SKATE"
